
	Performance of QuickSort : 

	n		Pivot type		Random			Sorted			Almost Sorted

	10000		FIRST			0.000000		0.240000		0.000000
	10000		RANDOM			0.000000		0.000000		0.000000
	10000		MEDIAN OF THREE 1	0.000000		0.000000		0.000000
	10000		MEDIAN OF THREE 2	0.020000		0.000000		0.000000


	100000		FIRST			0.020000		21.910000		0.190000
	100000		RANDOM			0.020000		0.020000		0.030000
	100000		MEDIAN OF THREE 1	0.010000		0.020000		0.040000
	100000		MEDIAN OF THREE 2	0.020000		0.010000		0.020000


	1000000		FIRST			0.310000		2300.804791		2.260000
	1000000		RANDOM			0.250000		0.257361		0.250000
	1000000		MEDIAN OF THREE 1	0.170000		0.262910		0.630000
	1000000		MEDIAN OF THREE 2	0.170000		0.131661		0.220000


	10000000	FIRST			3.580000		241611.259155		24.490000
	10000000	RANDOM			2.790000		3.311744		2.740000
	10000000	MEDIAN OF THREE 1	1.950000		3.456072		6.000000
	10000000	MEDIAN OF THREE 2	1.940000		1.733466		2.580000


